,origin,age,color,sex,import_type,sire,dam,dam_sire,horse_id
295,GB,Unknown,Bay,Gelding,PPG,Motivator,Blandish,Wild Again,S115
296,IRE,Unknown,Bay,Gelding,PP,Balmont,Novosibirsk,Distant View,S191
297,AUS,Unknown,Bay,Gelding,PPG,Snitzel,St Therese,Dehere,V146
298,AUS,Unknown,Grey,Gelding,PPG,Immovable Option,Dokic,Kenvain,S288
299,AUS,Unknown,Bay,Gelding,ISG,Flying Spur,Vivacious Spirit,Bel Esprit,V334
300,AUS,Unknown,Bay,Gelding,PP,Al Samer,Alice's Restaurant,Mossman,T054
301,SAF,Unknown,Bay,Gelding,PPG,Kahal,Shoreline Symphony,National Emblem,S153
302,GB,Unknown,Bay,Gelding,PP,Captain Rio,Rapid Revalation,Bianconi,T097
303,NZ,Unknown,Chestnut,Gelding,PPG,Pentire,Splendid In Spring,Best Of Luck,S291
304,GB,Unknown,Bay,Gelding,PP,Pastoral Pursuits,Tittle,Tobougg,S193
305,NZ,Unknown,Bay,Gelding,PP,Gold Centre,Intensive Care,T V Heart Throb,P401
306,NZ,Unknown,Bay,Gelding,PPG,Postponed,Huntley Lass,Defensive Play,M396
307,USA,Unknown,Bay,Gelding,PPG,Came Home,Chilldown,Smokester,L192
308,IRE,Unknown,Bay,Gelding,PP,Elnadim,Freedom,Second Empire,P264
309,AUS,Unknown,Bay,Gelding,PPG,Charge Forward,Zanira,Al Hareb,P418
310,AUS,Unknown,Bay,Gelding,PPG,Northern Meteor,Mellow Elle,Thunder Gulch,T359
311,IRE,Unknown,Chestnut,Horse,VIS,Dubawi,Maredsous,Homme de Loi,V608
312,NZ,Unknown,Bay,Gelding,PPG,O'Reilly,Desert Ace,Desert Sun,N216
313,AUS,Unknown,Bay,Gelding,PPG,Danerich,Earthwarming,Canny Lad,S104
314,IRE,Unknown,Bay,Gelding,PP,Dandy Man,Umlani,Great Commotion,S143
315,AUS,Unknown,Bay,Gelding,PPG,Elusive Quality,Quilt,Danehill,P177
316,FR,Unknown,Bay,Gelding,PP,Early March,Gotdream,Loup Solitaire,T048
317,AUS,Unknown,Grey,Gelding,ISG,Encosta de Lago,Delphi Lodge,Fusaichi Pegasus,S337
318,NZ,Unknown,Bay,Gelding,VIS,Falkirk,Suivez Moi,Vettori,T611
319,NZ,Unknown,Bay,Gelding,PPG,Swiss Ace,River Nymph,Captain Rio,A128
320,AUS,Unknown,Chestnut,Gelding,PPG,Mossman,Concertino,Stravinsky,P309
321,AUS,Unknown,Brown,Gelding,PPG,Commands,She's God's Gift,Keltrice,S238
322,AUS,Unknown,Chestnut,Gelding,PP,Husson,Altiero,Kashani,S358
323,AUS,Unknown,Bay,Gelding,PPG,Choisir,La Rumba,Centaine,T080
324,NZ,Unknown,Chestnut,Gelding,PPG,Starcraft,I Have No Fear,Rock Of Gibraltar,V230
325,NZ,Unknown,Bay,Gelding,PPG,Elusive City,Wishing Belle,Sir Tristram,M188
326,NZ,Unknown,Bay,Gelding,PPG,Towkay,De Palio,King of Kings,T266
327,NZ,Unknown,Bay,Gelding,PPG,Dylan Thomas,More Than Sum,More Than Ready,A051
328,AUS,Unknown,Brown,Gelding,PP,Duke Of Marmalade,Countess Of Tiba,Second Empire,A002
329,ITY,Unknown,Bay,Gelding,PP,Mujahid,Nikita Tango,Sicyos,S121
330,NZ,Unknown,Bay,Gelding,PP,Iffraaj,Fortelo,Armidale,T074
331,GB,Unknown,Bay,Gelding,PP,Beat Hollow,Jumeela,Rainbow Quest,N112
332,AUS,Unknown,Chestnut,Gelding,PP,Rothesay,Upper Notch,High Yield,V267
333,AUS,Unknown,Bay,Gelding,PPG,Not A Single Doubt,Knight Vision,Foxhound,T036
334,AUS,Unknown,Chestnut,Gelding,PPG,Starcraft,Stormy Choice,Redoute's Choice,S398
335,AUS,Unknown,Chestnut,Gelding,PP,Barely A Moment,Biansassie,Bianconi,V352
336,NZ,Unknown,Bay,Gelding,PPG,Volksraad,Queen Of Avalon,Montjeu,S098
337,GB,Unknown,Bay,Gelding,PPG,Equiano,Poyle Meg,Dansili,V244
338,NZ,Unknown,Bay,Gelding,PPG,Remind,Oak Vintage,Seeking The Gold,S038
339,AUS,Unknown,Brown,Gelding,PPG,Eavesdropper,Zuhoor,Lonhro,T174
340,IRE,Unknown,Bay,Gelding,PP,Teofilo,Changeable,Dansili,P038
341,AUS,Unknown,Bay,Gelding,PP,Lonhro,Miss Belair,Grand Lodge,N295
342,GB,Unknown,Bay,Gelding,PPG,Oratorio,Barynya,Pivotal,S331
343,AUS,Unknown,Bay,Gelding,PP,Charge Forward,Jig Time Lady,Zeditave,S278
344,USA,Unknown,Bay,Gelding,VIS,Any Given Saturday,Miss Hot Salsa,Houston,V603
345,NZ,Unknown,Bay,Gelding,PP,Bachelor Duke,Consumer,Zabeel,T012
346,GB,Unknown,Chestnut,Horse,PP,Compton Place,Noble View,Distant View,M149
347,NZ,Unknown,Bay,Gelding,ISG,Thorn Park,Sharvasti,Montjeu,P368
348,GB,Unknown,Bay,Gelding,PP,Equiano,Miss Rimex,Ezzoud,A244
349,AUS,Unknown,Chestnut,Gelding,PPG,Fomalhaut,Dear Deputy,Deputy Governor,N028
350,NZ,Unknown,Bay,Gelding,PP,Postponed,Hingaia Lass,Grosvenor,L391
351,IRE,Unknown,Bay,Gelding,PP,Desert Style,Zayanida,King's Best,N184
352,NZ,Unknown,Bay,Gelding,PPG,Danroad,Snow Reason,Sound Reason,L021
353,IRE,Unknown,Grey,Gelding,PP,Bachelor Duke,Miss Sazanica,Zafonic,P124
354,NZ,Unknown,Bay,Gelding,ISG,Stravinsky,Wild Berries,Danehill,P371
355,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Soaring Spirit,Intikhab,P432
356,USA,Unknown,Dark Bay,Brown,PPG,Medaglia d'Oro,Worship The Moon,Malibu Moon,T193
357,NZ,Unknown,Bay,Gelding,PPG,Teofilo,Honor Lap,Honor Grades,T089
358,IRE,Unknown,Bay,Gelding,PP,Thousand Words,Aces Dancing,Big Shuffle,S047
359,AUS,Unknown,Bay,Gelding,PP,Sebring,Will Fly,Will Dancer,T300
360,AUS,Unknown,Chestnut,Gelding,PPG,Written Tycoon,Wild Release,Lochrae,S245
361,AUS,Unknown,Bay,Gelding,PPG,Any Given Saturday,Our Prima Donna,Carnegie,P304
362,AUS,Unknown,Bay,Gelding,ISG,Encosta de Lago,Isle Of Gibraltar,Danehill,K248
363,AUS,Unknown,Bay,Gelding,PPG,Not A Single Doubt,Cool As Oh,Octagonal,P420
364,NZ,7,Bay,Gelding,PPG,Showcasing,Olga Palosky,Crested Wave,T436
365,GB,Unknown,Chestnut,Gelding,PP,Zoffany,Frabjous,Pivotal,V121
366,AUS,7,Bay,Gelding,PP,Fastnet Rock,Queen Of Troy,Storm Cat,V279
367,NZ,Unknown,Bay,Gelding,PP,O'Reilly,Pinot Gris,Pentire,N267
368,NZ,Unknown,Bay,Gelding,PP,Postponed,Stark Naked,Stark South,N428
369,NZ,7,Bay,Gelding,PP,Tavistock,Dantessa,Danasinga,A172
370,IRE,Unknown,Bay,Gelding,PP,Encosta de Lago,Ashtarka,Dalsaan,M061
371,AUS,Unknown,Bay,Gelding,PP,Exceed And Excel,Lindisfarne,Viscount,P400
372,IRE,8,Bay,Gelding,PP,Monsieur Bond,Midnight Mystique,Noverre,V114
373,AUS,7,Chestnut,Gelding,PP,More Than Ready,Wedgetail Eagle,Lure,A093
374,NZ,Unknown,Grey,Gelding,PPG,Alamosa,Young American,Charnwood Forest,S126
375,NZ,Unknown,Bay,Gelding,PP,Bahhare,Pesky,Paris Opera,L420
376,NZ,Unknown,Bay,Gelding,PP,Iffraaj,Singadablues,Danasinga,A003
377,AUS,Unknown,Brown,Gelding,PP,Myboycharlie,Hazlanded,Zabeel,T126
378,AUS,Unknown,Brown,Gelding,PPG,I Am Invincible,Bavarian Belle,Clangalang,V365
379,AUS,6,Bay,Gelding,PP,Zoffany,Folichonne,Denon,A100
380,NZ,Unknown,Bay,Gelding,PPG,Darci Brahma,Fairy Lights,Fairy King,A047
381,GB,8,Bay,Gelding,PP,Holy Roman Emperor,Lacandona,Septieme Ciel,V232
382,IRE,Unknown,Bay,Gelding,PP,Invincible Spirit,Saoire,Pivotal,P324
383,NZ,Unknown,Bay,Gelding,PPG,Saperavi,Shock Attack,Inviting,V162
384,GB,Unknown,Bay,Gelding,PP,Beat Hollow,Midnight Ransom,Red Ransom,S255
385,NZ,Unknown,Bay,Gelding,PP,Elusive City,Sheza Bluebird,Grosvenor,V073
386,USA,Unknown,Bay,Gelding,PP,Smart Strike,Sindirana,Kalanisi,T114
387,SAF,Unknown,Bay,Gelding,PP,Miesque's Approval,Monroe,Model Man,P329
388,NZ,Unknown,Bay,Gelding,PPG,Gold Centre,Pines Princess,Bluebird,T027
389,GB,Unknown,Bay,Gelding,PP,Choisir,Verbal Intrigue,Dahar,N005
390,AUS,Unknown,Bay,Gelding,PP,Haradasun,Libor Lady,Exchange Rate,V074
391,FR,Unknown,Bay,Gelding,PP,Scalo,Indyca,Panis,A155
392,NZ,Unknown,Bay,Gelding,PP,Keeper,Mumtaz,Cape Cross,T293
393,AUS,Unknown,Bay,Gelding,PP,Magnus,Obbligato,Redoute's Choice,S164
394,AUS,Unknown,Bay,Gelding,PP,Hidden Dragon,Tycoon Rhythm,Last Tycoon,T374
395,IRE,Unknown,Chestnut,Gelding,PP,Galileo,Luas Line,Danehill,T146
396,AUS,Unknown,Bay,Gelding,PPG,Oratorio,Grand Alignment,Timber Country,T250
397,AUS,Unknown,Brown,Gelding,PP,Casino Prince,Zazie,Zabeel,P297
398,AUS,Unknown,Bay,Gelding,PP,High Chaparral,Strategic Answer,Strategic,V075
399,AUS,Unknown,Bay,Gelding,PPG,Beautiful Crown,Best Of You,Canny Lad,V084
400,NZ,Unknown,Bay,Gelding,PP,Thano,Zarnitsa,Maroof,T016
401,AUS,Unknown,Brown,Gelding,PPG,Danzero,Alpine Spirit,Kenmare,N248
402,GB,Unknown,Bay,Colt,VIS,Nayef,Winter Silence,Dansili,T620
403,AUS,Unknown,Bay,Gelding,PPG,Al Samer,Beautiful Mimzar,Snaadee,N090
404,NZ,Unknown,Bay,Gelding,PPG,Rip Van Winkle,Kitty,Black Minnaloushe,A274
405,IRE,Unknown,Bay,Gelding,PP,Sir Prancealot,Spring Crocus,Noverre,A196
406,IRE,Unknown,Brown,Gelding,PP,Kodiac,Bobby Jane,Diktat,T365
407,IRE,Unknown,Bay,Gelding,PP,Rock Of Gibraltar,Star Studded,Cadeaux Genereux,T196
408,AUS,Unknown,Chestnut,Gelding,PPG,Written Tycoon,Mrs Shine,Marquetry,P422
409,AUS,Unknown,Bay,Gelding,PP,Street Cry,La Guichet,Al Hareb,T163
410,IRE,Unknown,Bay,Gelding,ISG,Oratorio,Gillstown Great,Royal Applause,M316
411,AUS,Unknown,Brown,Gelding,PPG,Sequalo,Size Zero,Danzero,T071
412,NZ,Unknown,Bay,Gelding,PP,High Chaparral,Drama,Deputy Governor,M245
413,IRE,Unknown,Bay,Gelding,PP,Red Clubs,Dianella,Gold Away,P424
414,GB,Unknown,Bay,Gelding,PP,Nayef,Fairy Sensazione,Fairy King,S122
415,NZ,Unknown,Chestnut,Gelding,PPG,Thorn Park,Accompli,Anabaa,V043
416,AUS,Unknown,Black,Gelding,PPG,All American,Future Choice,Redoute's Choice,T165
417,NZ,Unknown,Grey,Gelding,PP,Align,Annalee,Kingdom Bay,A147
418,IRE,Unknown,Bay,Gelding,PP,Mastercraftsman,Pertinence,Fasliyev,V194
419,NZ,6,Bay,Gelding,PPG,O'Reilly,Holiday In Goa,Stravinsky,A190
420,IRE,Unknown,Bay,Gelding,PP,Danehill Dancer,Brazilian Samba,Sadler's Wells,N371
421,AUS,Unknown,Bay,Gelding,PPG,Wanted,Paralegal,O'Reilly,A017
422,IRE,Unknown,Bay,Rig,PP,Excellent Art,Enchanting Way,Linamix,S307
423,NZ,Unknown,Bay,Gelding,PPG,One Cool Cat,Slievenamon Marie,King Of Kings,P166
424,NZ,Unknown,Bay,Gelding,PPG,Thorn Park,Molly Dear,Cape Cross,P031
425,NZ,Unknown,Bay,Gelding,PPG,Storming Home,There's No Doubt,Pompeii Court,M143
426,NZ,Unknown,Chestnut,Gelding,PP,Mr Nancho,Ghemashah,Danewin,N307
427,IRE,Unknown,Bay,Gelding,PP,Oratorio,Balamiyda,Ashkalani,P229
428,AUS,Unknown,Chestnut,Gelding,ISG,Dehere,Annie La Vie,Flying Spur,L238
429,GER,Unknown,Bay,Gelding,PP,Tertullian,Akasma,Windwurf,P095
430,GB,Unknown,Grey,Gelding,ISG,Invincible Spirit,Sell Out,Act One,S338
431,GB,Unknown,Bay,Gelding,PP,Royal Applause,Age Of Chivalry,Invincible Spirit,V116
432,IRE,Unknown,Bay,Gelding,PP,Holy Roman Emperor,Summer Trysting,Alleged,P270
433,NZ,Unknown,Bay,Gelding,VIS,Keeper,Bye Bye Affair,Black Tie Affair,V630
434,AUS,Unknown,Chestnut,Gelding,PPG,All Bar One,Appease,Canny Lad,M410
435,AUS,Unknown,Bay,Gelding,PPG,Darci Brahma,Showileo,Galileo,T081
436,FR,Unknown,Bay,Gelding,PP,Dansili,Metisse,Kingmambo,S215
437,AUS,6,Bay,Gelding,PPG,Myboycharlie,Dangerous Dancer,Danehill Dancer,A224
438,AUS,Unknown,Chestnut,Gelding,PPG,Written Tycoon,Chimerique,Choisir,T011
439,NZ,Unknown,Bay,Gelding,PP,Fast 'N' Famous,Czardos,King Delamere,N386
440,FR,Unknown,Bay,Gelding,PPG,Ransom O'War,Bittersweetsymfony,Hawk Wing,S148
441,IRE,Unknown,Brown,Gelding,PP,Requinto,Definite Opinion,Kheleyf,A231
442,NZ,Unknown,Bay,Gelding,PP,My Halo,Amadi's Express,Success Express,M378
443,NZ,Unknown,Chestnut,Gelding,PPG,Pins,Heavenly,Danasinga,N299
444,AUS,Unknown,Bay,Gelding,PPG,Hidden Dragon,Semiprecious,Semipalatinsk,P307
445,AUS,Unknown,Chestnut,Gelding,PP,Globetrotter,Rumbalara,Intikhab,V216
446,GB,Unknown,Bay,Gelding,PP,Medicean,Sweet Cando,Royal Applause,T310
447,NZ,Unknown,Bay,Gelding,PP,Towkay,Quasi Stellar,Catrail,P134
448,NZ,Unknown,Bay,Gelding,PP,Excellent Art,Shegra,Royal Academy,P384
449,IRE,Unknown,Bay,Gelding,PP,Tagula,Mooching Along,Mujahid,P037
450,AUS,Unknown,Bay,Gelding,PPG,Al Samer,Tiger Belle,Sports Works,N297
451,CAN,Unknown,Chestnut,Gelding,ISG,Lemon Drop Kid,Pin Turn,Pivotal,T344
452,AUS,Unknown,Brown,Gelding,ISG,Fastnet Rock,Haibah,Rainbow Quest,M319
453,AUS,Unknown,Bay,Gelding,PP,Encosta de Lago,Burgeis,Catbird,T350
454,IRE,Unknown,Bay,Gelding,PPG,Iffraaj,Daylight Ahead,Tenby,N378
455,AUS,6,Bay,Gelding,PPG,Medaglia d'Oro,Princesa,Danehill,V390
456,NZ,Unknown,Bay,Gelding,PP,Savabeel,Mi Centie,Centaine,S381
457,AUS,Unknown,Bay,Gelding,PPG,Econsul,Skilful Choice,Redoute's Choice,P075
458,GB,Unknown,Brown,Gelding,PP,New Approach,Dynacam,Dynaformer,S437
459,NZ,Unknown,Brown,Gelding,PPG,O'Reilly,Mareka,Maroof,L206
460,SAF,Unknown,Bay,Gelding,PPG,Goldkeeper,Imperial Bird,Nissr,S157
461,AUS,Unknown,Bay,Gelding,PPG,Hinchinbrook,Startling Pleasure,Shovhog,A301
462,NZ,Unknown,Chestnut,Gelding,PP,Mr Nancho,Famous Rose,Zerpour,T316
463,AUS,Unknown,Bay,Gelding,PPG,Holy Roman Emperor,Detail,Filante,S424
464,GB,Unknown,Grey,Gelding,PP,Cape Cross,Chinese White,Dalakhani,T220
465,IRE,Unknown,Bay,Gelding,PP,Oratorio,Gems Of Araby,Zafonic,P099
466,AUS,Unknown,Bay,Gelding,PPG,Smart Missile,Arms Wide Open,Encosta de Lago,V305
467,AUS,6,Bay,Gelding,ISG,Duporth,Baby Corn,Exceed And Excel,A316
468,SAF,Unknown,Bay,Gelding,PP,National Emblem,Solar Galleon,Captain AI,P330
469,AUS,6,Chestnut,Gelding,PP,Hussonet,Grantsville,Trempolino,A201
470,AUS,Unknown,Bay,Gelding,ISG,Court Command,Lady Jakeo,Last Tycoon,N333
471,AUS,Unknown,Bay,Gelding,PP,Strada,Martiniforus,Fuji Kiseki,S316
472,FR,Unknown,Chestnut,Gelding,PP,My Risk,Sikkim,Linamix,A194
473,IRE,Unknown,Chestnut,Gelding,PP,Choisir,Champagne Toni,Second Empire,M223
474,AUS,Unknown,Chestnut,Gelding,PPG,Falvelon,Lady London,Brocco,P108
475,IRE,Unknown,Bay,Gelding,PP,Danehill Dancer,Zibilene,Rainbow Quest,N115
476,NZ,Unknown,Bay,Gelding,PPG,Ishiguru,Jessika,O'Reilly,M255
477,AUS,Unknown,Chestnut,Gelding,PPG,Shamardal,Elusive Quarry,Zabeel,L396
478,AUS,Unknown,Bay,Gelding,PPG,Danasinga,Dressing Up,Belong To Me,P378
479,NZ,Unknown,Bay,Gelding,PPG,Canny Lad,Tropicana,Fusaichi Pegasus,S127
480,NZ,7,Chestnut,Gelding,PPG,Castledale,Sweet Fascination,Irgun,V396
481,NZ,Unknown,Bay,Gelding,PPG,Sandtrap,Yachting Magic,Yachtie,S137
482,AUS,Unknown,Grey,Gelding,PP,Hard Spun,Joyous Rain,Spectrum,V413
483,AUS,Unknown,Bay,Gelding,ISG,Dubawi,Drop Dead Gorgeous,Scenic,P238
484,NZ,Unknown,Bay,Gelding,PPG,Alamosa,Superb Melody,Unbridled's Song,T079
485,FR,Unknown,Bay,Gelding,PP,Monsieur Bond,Lady Oriande,Makbul,M287
486,NZ,Unknown,Bay,Gelding,PPG,Golan,Dame Mapperley,Volksraad,N316
487,NZ,Unknown,Bay,Gelding,PP,Pins,Laebeel,Zabeel,P333
488,AUS,Unknown,Bay,Gelding,PPG,More Than Ready,Femme Liberte,Flying Spur,S209
489,IRE,Unknown,Chestnut,Gelding,PP,Roderic O'Connor,Tea Chest,In The Wings,V408
490,AUS,Unknown,Brown,Gelding,PP,High Chaparral,Zumanity,O'Reilly,A343
491,NZ,Unknown,Bay,Gelding,PPG,Shinko King,Goldsmith,Montjeu,S094
492,IRE,Unknown,Bay,Gelding,PP,Clodovil,Aloisi,Kalanisi,A227
493,NZ,Unknown,Bay,Gelding,PPG,Pins,Golden Gamble,Oregon,K399
494,NZ,Unknown,Brown,Gelding,PP,O'Reilly,Sapphire Belle,Danske,V080
495,AUS,Unknown,Bay,Gelding,PPG,Equiano,Allegretto,Anabaa,V005
496,AUS,Unknown,Chestnut,Gelding,PPG,Dr Green,Mlada,Danasinga,V062
497,NZ,Unknown,Chestnut,Gelding,PP,Thorn Park,Straight Eight,Danske,A218
498,AUS,Unknown,Bay,Gelding,PPG,Monaco Consul,Ladyofdistinction,Darci Brahma,A205
499,NZ,Unknown,Bay,Gelding,PP,O'Reilly,Frockstar,Pins,A004
500,AUS,Unknown,Bay,Gelding,PPG,Exceed And Excel,Keystone Gulch,Gulch,T175
501,GB,Unknown,Chestnut,Gelding,PP,Bertolini,Armada Grove,Fleetwood,L070
502,IRE,Unknown,Bay,Gelding,PP,Elusive City,Marie Rossa,Testa Rossa,T049
503,AUS,Unknown,Bay,Gelding,PP,Champions Gallery,Bevagna,Ombra Della Sera,V001
504,AUS,Unknown,Chestnut,Gelding,PPG,Bianconi,Susie Mine,Encosta de Lago,T062
505,NZ,Unknown,Brown,Gelding,PPG,Keeper,Sursum Corda,Zabeel,P021
506,USA,Unknown,Dark Bay,Brown,VIS,Mizzen Mast,Bonsai Beauty,Forestry,V602
507,NZ,Unknown,Roan,Gelding,PPG,Handsome Ransom,Lucadore,Wild Rampage,P079
508,AUS,Unknown,Bay,Gelding,PP,Redoute's Choice,Savannah Success,Success Express,T058
509,AUS,Unknown,Bay,Horse,PP,Lucky Owners,Pink Pier,Galileo,T125
510,AUS,Unknown,Bay,Gelding,PPG,Hidden Dragon,Subtle Difference,Senor Pete,P308
511,NZ,Unknown,Bay,Gelding,PP,Alamosa,Cats Tango,Tale Of The Cat,S401
512,NZ,Unknown,Bay,Gelding,PPG,O'Reilly,Pin High,Pins,A271
513,GB,Unknown,Bay,Gelding,ISG,New Approach,Hope Island,Titus Livius,S343
514,NZ,Unknown,Bay,Gelding,PP,Mr Nancho,Raving,Centaine,S010
515,NZ,Unknown,Bay,Gelding,PP,Alamosa,Creil,Frenchpark,V013
516,AUS,Unknown,Bay,Gelding,PP,Lonhro,Rose Ransom,Red Ransom,V076
517,NZ,Unknown,Bay,Gelding,PPG,Postponed,Ballyalla,Encosta de Lago,T184
518,AUS,Unknown,Bay,Gelding,ISG,Manhattan Rain,La Bamba,Last Tycoon,V330
519,NZ,Unknown,Brown,Gelding,ISG,O'Reilly,Zoilus,Maroof,M315
520,AUS,Unknown,Bay,Gelding,PP,Hinchinbrook,Pura Seda,Barathea,V340
521,AUS,Unknown,Bay,Gelding,PPG,Fastnet Rock,Glitzy Guru,Johann Quatz,M347
522,NZ,Unknown,Bay,Gelding,PP,Perfectly Ready,Betty Lamour,Bahhare,S442
523,AUS,Unknown,Bay,Gelding,PP,Southern Image,Miss Doopsy,Bite The Bullet,M293
524,AUS,Unknown,Bay,Gelding,PP,Fastnet Rock,Razzia,Scenic,P173
525,FR,9,Bay,Gelding,PP,Elusive City,King Luna,King's Best,T093
526,AUS,Unknown,Bay,Gelding,PP,Stratum,Isaure,Daliapour,V136
527,IRE,Unknown,Bay,Gelding,PP,Manduro,Zaynaat,Unfuwain,P397
528,NZ,Unknown,Bay,Gelding,PPG,Edenwold,Kaoru Dancer,Tights,P433
529,AUS,Unknown,Bay,Gelding,PPG,Untouchable,Treasure Box,Wild Harmony,N097
530,NZ,Unknown,Brown,Gelding,PPG,Perfectly Ready,Spinning Pearl,Spinning World,S242
531,USA,Unknown,Bay,Gelding,PP,Henrythenavigator,Honeypenny,Royal Academy,T116
532,NZ,7,Bay,Gelding,PPG,Iffraaj,Charangas,Flying Spur,A053
533,NZ,Unknown,Chestnut,Gelding,PPG,Hawkeye,Red Carrera,Rory's Jester,S028
534,NZ,Unknown,Chestnut,Gelding,PPG,Align,Frankish,Carolingian,T383
535,AUS,Unknown,Bay,Gelding,PP,Duke Of Marmalade,Madam Spank,Bellotto,T255
536,IRE,Unknown,Chestnut,Gelding,ISG,Le Vie Dei Colori,Whistfilly,First Trump,M328
537,AUS,Unknown,Chestnut,Gelding,PP,Flying Spur,Testy,Testa Rossa,T387
538,AUS,Unknown,Bay,Gelding,PPG,Domesday,True Charm,Thunder Gulch,A078
539,AUS,Unknown,Bay,Gelding,PPG,Master Of Design,Shimmy,Royal Academy,V399
540,GB,Unknown,Bay,Gelding,ISG,Dutch Art,Ring Of Love,Magic Ring,P231
541,AUS,Unknown,Brown,Gelding,PP,Northern Meteor,Feelers,Quest For Fame,A094
542,AUS,6,Bay,Gelding,PPG,Show A Heart,Kamiri,King Ivor,V260
543,IRE,Unknown,Chestnut,Gelding,PP,Dutch Art,Paix Royale,Royal Academy,P183
544,AUS,Unknown,Bay,Gelding,PPG,Lucky Owners,Swept Overboard,End Sweep,V420
545,USA,Unknown,Grey,Roan,VIS,Zensational,Pure Disco,Disco Rico,A607
546,IRE,Unknown,Bay,Gelding,PP,One Cool Cat,Alenteja,Danehill,M212
547,AUS,Unknown,Bay,Gelding,PPG,Henrythenavigator,Petite Allegro,Stravinsky,P340
548,NZ,Unknown,Bay,Gelding,PP,Captain Rio,Kiwi Supreme,Epidaurus,V206
549,AUS,6,Brown,Gelding,PP,More Than Ready,Rose Of Hallowell,Commands,A337
550,AUS,Unknown,Chestnut,Gelding,PP,Testa Rossa,Lindalay,Honour And Glory,S172
551,AUS,Unknown,Bay,Gelding,PP,Tale Of The Cat,Creative Plan,Flying Spur,T376
552,FR,Unknown,Bay,Gelding,PP,Rashbag,Rahyna,Rahy,S190
553,IRE,Unknown,Bay,Gelding,PP,Traditionally,Wish List,Mujadil,K301
554,AUS,Unknown,Grey,Gelding,PP,Al Maher,Chase The Chick,Kenmare,T157
555,AUS,Unknown,Bay,Gelding,PP,Northern Meteor,Flying Object,Peintre Celebre,S280
556,NZ,Unknown,Bay,Gelding,PP,Stravinsky,Entrancement,Danehill,V021
557,GB,Unknown,Bay,Gelding,PP,Kyllachy,Greenmeadow,Sure Blade,T099
558,SAF,Unknown,Bay,Gelding,PP,Dynasty,Cosima Liszt,Rich Man's Gold,A119
559,AUS,Unknown,Bay,Gelding,PPG,Danerich,Homeland Sheila,Keltrice,S319
560,GB,Unknown,Chestnut,Gelding,PP,Dutch Art,Stravie,Stravinsky,S328
561,NZ,Unknown,Bay,Gelding,PPG,Iffraaj,Starboard Light,Mark Of Esteem,T261
562,IRE,Unknown,Bay,Gelding,PP,Shamardal,Source Of Life,Fasliyev,V350
563,AUS,Unknown,Bay,Gelding,PP,Northern Meteor,Dearness,Snippets,S393
564,JPN,Unknown,Bay,Gelding,PPG,Matsurida Gogh,Twin Smile,Fusaichi Pegasus,S005
565,AUS,Unknown,Bay,Gelding,PP,Snippetson,Green Mirage,Green Desert,A216
566,AUS,Unknown,Bay,Gelding,PPG,Strategic,Romantic Lady,Danzero,S239
567,GB,Unknown,Bay,Gelding,PP,Choisir,Just Devine,Montjeu,S217
568,GER,Unknown,Bay,Gelding,PP,Areion,Sun Valley,Lando,T363
569,IRE,Unknown,Bay,Gelding,PP,Shamardal,Dibiya,Caerleon,S120
570,AUS,7,Bay,Gelding,PPG,Racer's Edge,Shezgonewest,Mugharreb,A012
571,AUS,Unknown,Bay,Gelding,PPG,Danewin,Royal Prize,Prized,L282
572,NZ,Unknown,Chestnut,Gelding,PPG,Zed,Jumar,Towkay,V403
573,USA,Unknown,Bay,Rig,PPG,Spring At Last,Classiest Gem,Dehere,T252
574,NZ,Unknown,Chestnut,Gelding,PPG,Pins,Alleyway,Oregon,T434
575,AUS,Unknown,Bay,Gelding,PP,Bel Esprit,Filly Of Choice,End Sweep,A001
576,FR,Unknown,Bay,Horse,VIS,Silver Frost,Miss Bio,River Mist,A614
577,AUS,Unknown,Bay,Gelding,PPG,Astronomer Royal,Zugat,King Cugat,T356
578,NZ,9,Bay,Gelding,PP,High Chaparral,The Quarewan,Supremo,T256
579,NZ,Unknown,Bay,Gelding,PPG,Bachelor Duke,Lim's Rainbow,Rory's Jester,T205
580,AUS,Unknown,Chestnut,Gelding,PPG,Testa Rossa,Electric Dreams,Redoute's Choice,T283
581,NZ,Unknown,Brown,Gelding,PP,Handsome Ransom,Sea Shells,Paris Opera,P066
582,IRE,Unknown,Bay,Gelding,PP,Shamardal,Nouvelle Noblesse,Singspiel,M339
583,NZ,Unknown,Grey,Gelding,ISG,Cape Cross,Exotic Dancer,Slavic,M326
584,AUS,6,Chestnut,Gelding,PP,Magic Albert,Kate Of Clonmel,Bianconi,A296
585,NZ,Unknown,Bay,Gelding,PPG,Falkirk,Nimue,Star Way,N279
586,NZ,Unknown,Grey,Gelding,PP,Mastercraftsman,Sharp Point,Point Given,A262
587,GB,Unknown,Bay,Gelding,PP,Shamardal,Pearl Dance,Nureyev,T103
588,AUS,Unknown,Bay,Gelding,PP,Northern Meteor,Morwell,Royal Academy,V254
589,NZ,Unknown,Bay,Gelding,PPG,Magic Albert,Quiet Please,Kaapstad,S301
590,NZ,Unknown,Bay,Gelding,PP,Pins,Jeanetta Cochrane,Sadler's Wells,V265
591,GB,Unknown,Bay,Gelding,PPG,Exceed And Excel,Anse Victorin,Mt Livermore,S074
